Running serialdump without rlwrap support.
Consider installing rlwarp in order to be able to use command history
../../../tools/serial-io/serialdump -b115200 -T /dev/ttyUSB0
[2021-05-21 11:22:25] e5e4,302,177441,9740759,27744,9879913,9927301
[2021-05-21 11:22:25] e5e4,303,178083,9772885,27906,9912519,9960069
[2021-05-21 11:22:26] e5e4,304,178711,9805025,28068,9945125,9992837
[2021-05-21 11:22:27] e5e4,305,179544,9836960,28388,9977573,10025605
[2021-05-21 11:22:28] e5e4,38,34981,1232477,41,1256875,1277577
[2021-05-21 11:23:09] e5e4,39,35502,1264724,122,1289561,1310345
[2021-05-21 11:23:10] e5e4,40,36198,1296796,317,1322134,1343113
[2021-05-21 11:23:11] e5e4,41,37195,1328567,730,1354489,1375881
[2021-05-21 11:23:12] e5e4,42,37715,1360815,811,1387176,1408649
[2021-05-21 11:23:13] e5e4,43,38231,1393067,892,1419863,1441417
[2021-05-21 11:23:14] e5e4,44,38743,1425323,974,1452549,1474185
[2021-05-21 11:23:15] e5e4,45,39294,1457540,1055,1485236,1506953
[2021-05-21 11:23:16] e5e4,46,39811,1489791,1136,1517923,1539721
[2021-05-21 11:23:17] e5e4,47,40324,1522046,1217,1550610,1572489
[2021-05-21 11:23:18] e5e4,48,40883,1554255,1390,1583205,1605256
[2021-05-21 11:23:19] e5e4,49,41285,1586621,1471,1615892,1638024
[2021-05-21 11:23:20] e5e4,50,41869,1618805,1667,1648464,1670793
[2021-05-21 11:23:21] e5e4,51,42269,1651173,1748,1681151,1703560
[2021-05-21 11:23:22] e5e4,52,42668,1683541,1830,1713837,1736328
[2021-05-21 11:23:23] e5e4,53,43099,1715878,1911,1746524,1769096
[2021-05-21 11:23:24] e5e4,54,43626,1748119,1992,1779211,1801864
[2021-05-21 11:23:25] e5e4,55,44155,1780358,2073,1811898,1834632
[2021-05-21 11:23:26] e5e4,56,44680,1812601,2154,1844585,1867400
[2021-05-21 11:23:27] e5e4,57,45207,1844842,2235,1877272,1900168
[2021-05-21 11:23:28] e5e4,58,45735,1877082,2316,1909959,1932936
[2021-05-21 11:23:29] e5e4,59,46259,1909326,2397,1942646,1965704
[2021-05-21 11:23:30] e5e4,60,46810,1941543,2478,1975333,1998472
[2021-05-21 11:23:31] e5e4,61,47373,1973749,2559,2008020,2031240
[2021-05-21 11:23:32] e5e4,62,48040,2005849,2755,2040592,2064008
[2021-05-21 11:23:33] e5e4,63,48710,2037947,2929,2073185,2096776
[2021-05-21 11:23:34] e5e4,64,49227,2070198,3011,2105871,2129544
[2021-05-21 11:23:35] e5e4,65,49741,2102452,3092,2138558,2162312
[2021-05-21 11:23:36] e5e4,66,50262,2134699,3174,2171244,2195080
[2021-05-21 11:23:37] e5e4,67,50779,2166950,3255,2203931,2227848
[2021-05-21 11:23:38] e5e4,68,51293,2199204,3336,2236618,2260616
[2021-05-21 11:23:39] e5e4,69,51811,2231454,3417,2269305,2293384
[2021-05-21 11:23:40] e5e4,70,52359,2263674,3498,2301992,2326152
[2021-05-21 11:23:41] e5e4,71,52873,2295928,3579,2334679,2358920
[2021-05-21 11:23:42] e5e4,72,53391,2328178,3660,2367366,2391688
[2021-05-21 11:23:43] e5e4,73,53907,2360430,3741,2400053,2424456
[2021-05-21 11:23:44] e5e4,74,54420,2392685,3822,2432740,2457224
[2021-05-21 11:23:45] e5e4,75,54948,2424925,3903,2465427,2489992
[2021-05-21 11:23:46] e5e4,76,55464,2457177,3984,2498114,2522760
[2021-05-21 11:23:47] e5e4,77,55977,2489432,4065,2530801,2555528
[2021-05-21 11:23:48] e5e4,78,56494,2521683,4146,2563488,2588296
[2021-05-21 11:23:49] e5e4,79,57010,2553935,4227,2596175,2621064
[2021-05-21 11:23:50] e5e4,80,57554,2586159,4308,2628862,2653832
