Running serialdump without rlwrap support.
Consider installing rlwarp in order to be able to use command history
../../../tools/serial-io/serialdump -b115200 -T /dev/ttyUSB0
[2021-05-26 12:14:28] e692,51,2042,33,321612,128,1110431,901106,942417,942895
[2021-05-26 12:14:29] e692,52,2042,34,321032,128,1143200,901106,975952,976430
[2021-05-26 12:14:30] e692,53,2042,35,322088,128,1175968,901106,1008464,1008942
[2021-05-26 12:14:31] e692,54,2042,36,321888,128,1208736,901106,1040340,1040818
[2021-05-26 12:14:32] e692,55,2042,37,321916,128,1241504,901106,1074000,1074478
[2021-05-26 12:14:33] e692,56,2042,38,321452,128,1274272,901106,1106512,1106990
[2021-05-26 12:14:34] e692,57,2042,39,321460,128,1307040,901106,1138758,1139236
[2021-05-26 12:14:35] e692,58,2042,40,321588,128,1339808,901106,1172560,1173038
[2021-05-26 12:14:36] e692,59,2042,41,321652,128,1372576,901106,1205328,1205806
[2021-05-26 12:14:37] e692,60,2042,42,321996,128,1405344,901106,1237062,1237540
[2021-05-26 12:14:38] e692,61,2042,43,321972,128,1438112,901106,1271120,1271598
[2021-05-26 12:14:39] e692,62,2042,44,321900,128,1470880,901106,1303375,1303853
[2021-05-26 12:14:40] e692,63,2042,45,321952,128,1503648,901106,1336655,1337133
[2021-05-26 12:14:41] e692,64,2042,46,322284,128,1536416,901106,1368019,1368497
[2021-05-26 12:14:42] e692,65,2042,47,321980,128,1569184,901106,1401167,1401645
[2021-05-26 12:14:43] e692,66,2042,48,324364,128,1601952,901106,1434191,1434669
[2021-05-26 12:14:44] e692,67,2042,49,321468,128,1634720,901106,1466702,1467180
[2021-05-26 12:14:45] e692,68,2042,50,322232,128,1667488,901106,1499090,1499568
[2021-05-26 12:14:46] e484,69,2,30,631048,3167,1791658,980930,1530481,1530960
[2021-05-26 12:14:47] e692,70,2042,51,321872,128,1700256,901106,1535054,1535533
[2021-05-26 12:14:47] e484,71,3,31,28192,128,1824425,1772735,1562920,1563399
[2021-05-26 12:14:48] e692,72,2042,52,323108,128,1733024,1700358,1566276,1566755
[2021-05-26 12:14:48] e484,73,4,32,28168,128,1857193,1814975,1596016,1596495
[2021-05-26 12:14:49] e692,74,2042,53,322484,128,1765793,1732013,1598797,1599276
[2021-05-26 12:14:49] e484,75,5,33,28200,128,1889961,1845695,1628529,1629007
[2021-05-26 12:14:50] e692,76,2042,54,322500,128,1798561,1765110,1636173,1636652
[2021-05-26 12:14:50] e692,77,2042,55,323280,128,1831329,1797622,1662929,1663407
[2021-05-26 12:14:51] e484,78,6,34,28176,128,1923265,1875647,1665904,1666383
[2021-05-26 12:14:51] e484,79,7,35,28212,128,1955497,1918398,1694064,1694542
[2021-05-26 12:14:52] e692,80,2042,56,322948,128,1864097,1831158,1697869,1698348
[2021-05-26 12:14:52] e484,81,8,36,28184,128,1988265,1948094,1727088,1727567
[2021-05-26 12:14:53] e692,82,2042,57,323220,128,1896865,1863158,1728465,1728943
[2021-05-26 12:14:53] e484,83,9,37,28236,128,2021033,1978558,1759856,1760335
[2021-05-26 12:14:54] e692,84,2042,58,322616,128,1929633,1896182,1762125,1762604
[2021-05-26 12:14:54] e484,85,10,38,28200,128,2053801,2008510,1793648,1794127
[2021-05-26 12:14:55] e692,86,2042,59,323088,128,1962401,1929737,1795149,1795628
[2021-05-26 12:14:55] e484,87,11,39,28256,128,2086569,2049982,1825063,1825542
[2021-05-26 12:14:56] e692,88,2042,60,323148,128,1995169,1943798,1827149,1827628
[2021-05-26 12:14:56] e484,89,12,40,28188,128,2119337,2072766,1858160,1858639
[2021-05-26 12:14:57] e692,90,2042,61,323576,128,2027937,1994158,1860321,1860800
[2021-05-26 12:14:57] e484,91,13,41,28228,128,2152105,2117310,1891696,1892175
[2021-05-26 12:14:58] e692,92,2042,62,322704,128,2060705,2027255,1893197,1893676
[2021-05-26 12:14:58] e484,93,14,42,28212,128,2184873,2135742,1923367,1923846
[2021-05-26 12:14:59] e692,94,2042,63,323144,128,2093473,2060791,1925186,1925665
[2021-05-26 12:14:59] e484,95,15,43,28228,128,2217641,2179262,1956976,1957455
[2021-05-26 12:15:00] e692,96,2042,64,323944,128,2126241,2092462,1959244,1959723
[2021-05-26 12:15:00] e484,97,16,44,28196,128,2250409,2205374,1990000,1990479
[2021-05-26 12:15:01] e692,98,2042,65,323120,128,2159009,2126072,1990722,1991201
[2021-05-26 12:15:01] e484,99,17,45,28268,128,2283177,2239677,2021744,2022223
[2021-05-26 12:15:02] e692,100,2042,66,323512,128,2191777,2159096,2023756,2024235
[2021-05-26 12:15:02] e484,101,18,46,28192,128,2315945,2271421,2055280,2055759
[2021-05-26 12:15:03] e692,102,2042,67,323044,128,2224545,2190840,2057281,2057760
[2021-05-26 12:15:03] e484,103,19,47,28252,128,2348713,2297533,2088560,2089039
[2021-05-26 12:15:04] e692,104,2042,68,323000,128,2257313,2224376,2089291,2089770
[2021-05-26 12:15:04] e484,105,20,48,28200,128,2381481,2342589,2119975,2120454
[2021-05-26 12:15:05] e692,106,2042,69,322756,128,2290081,2236920,2122827,2123306
[2021-05-26 12:15:05] e484,107,21,49,28268,128,2414249,2373821,2153072,2153551
[2021-05-26 12:15:06] e692,108,2042,70,323108,128,2322850,2289071,2154827,2155306
[2021-05-26 12:15:06] e484,109,22,50,28164,128,2447017,2399165,2185584,2186063
[2021-05-26 12:15:07] e692,110,2042,71,323000,128,2355618,2322168,2187215,2187694
[2021-05-26 12:15:07] e484,111,23,51,28280,128,2479785,2432189,2218352,2218831
[2021-05-26 12:15:08] e692,112,2042,72,323424,128,2388386,2354681,2232906,2233385
[2021-05-26 12:15:09] e484,113,24,52,28204,128,2512553,2468285,2251120,2251598
[2021-05-26 12:15:09] e692,114,2042,73,323588,128,2421154,2387449,2252750,2253229
[2021-05-26 12:15:09] e484,115,25,53,28228,128,2545321,2505916,2284656,2285134
[2021-05-26 12:15:10] e692,116,2042,74,323624,128,2453922,2420217,2288970,2289449
[2021-05-26 12:15:10] e484,117,26,54,28192,128,2578089,2533820,2316655,2317134
[2021-05-26 12:15:11] e692,118,2042,75,323180,128,2486690,2453753,2323274,2323753
[2021-05-26 12:15:11] e484,119,27,55,28256,128,2610857,2562748,2349423,2349902
[2021-05-26 12:15:12] e692,120,2042,76,322912,128,2519458,2485753,2352203,2352682
[2021-05-26 12:15:12] e484,121,28,56,28208,128,2643625,2593980,2382447,2382926
[2021-05-26 12:15:13] e692,122,2042,77,324080,128,2552226,2519308,2390346,2390825
[2021-05-26 12:15:13] e484,123,29,57,28264,128,2676393,2638781,2415727,2416206
[2021-05-26 12:15:14] e692,124,2042,78,323364,128,2584994,2551545,2416970,2417449
[2021-05-26 12:15:14] e484,125,30,58,28236,128,2709161,2663613,2448751,2449230
[2021-05-26 12:15:15] e692,126,2042,79,323728,128,2617762,2584826,2449472,2449951
[2021-05-26 12:15:15] e484,127,31,59,28268,128,2741929,2694332,2481775,2482254
[2021-05-26 12:15:16] e692,128,2042,80,323596,128,2650530,2617850,2483018,2483497
[2021-05-26 12:15:16] 