Running serialdump without rlwrap support.
Consider installing rlwarp in order to be able to use command history
../../../tools/serial-io/serialdump -b115200 -T /dev/ttyUSB0
2021-05-26 15:45:54,e484,6512,2042,719,351796,128,23591079,23558441,104891090,104891090
2021-05-26 15:45:54,9bf4,6513,1035,3969,374468,128,130268470,130235820,104897333,104897333
2021-05-26 15:45:54,e484,6514,2042,720,351908,128,23623847,23591209,104923602,104923602
2021-05-26 15:45:55,9bf4,6515,1036,3970,373376,128,130301238,130268588,104929845,104929845
2021-05-26 15:45:55,e484,6516,2042,721,351308,128,23656615,23623977,104956370,104956370
2021-05-26 15:45:56,9bf4,6517,1037,3971,373536,128,130334006,130301356,104963125,104963125
2021-05-26 15:45:56,e484,6518,2042,722,348448,128,23689383,23656745,104988360,104988360
2021-05-26 15:45:57,9bf4,6519,1038,3972,371960,128,130366774,130334124,104996149,104996148
2021-05-26 15:45:57,e484,6520,2042,723,351616,128,23722151,23689513,105021650,105021650
2021-05-26 15:45:58,9bf4,6521,1039,3973,374432,128,130399542,130366892,105028405,105028404
2021-05-26 15:45:58,e484,6522,2042,724,351760,128,23754919,23722281,105054930,105054930
2021-05-26 15:45:59,9bf4,6523,1040,3974,373212,128,130432310,130399660,105060661,105060660
2021-05-26 15:45:59,e484,6524,2042,725,351716,128,23787687,23755049,105086930,105086930
2021-05-26 15:46:00,9bf4,6525,1041,3975,374340,128,130465078,130432428,105093685,105093684
2021-05-26 15:46:00,e484,6526,2042,726,351836,128,23820455,23787817,105119432,105119432
2021-05-26 15:46:01,9bf4,6527,1042,3976,373044,128,130497846,130465196,105126452,105126452
2021-05-26 15:46:01,e484,6528,2042,727,352712,128,23853223,23820585,105152466,105152466
2021-05-26 15:46:02,9bf4,6529,1043,3977,374336,128,130530614,130497964,105159220,105159220
2021-05-26 15:46:02,e484,6530,2042,728,352096,128,23885991,23853353,105186002,105186002
2021-05-26 15:46:03,9bf4,6531,1044,3978,373192,128,130563382,130530732,105191732,105191732
2021-05-26 15:46:03,e484,6532,2042,729,351916,128,23918759,23886121,105218770,105218770
2021-05-26 15:46:04,9bf4,6533,1045,3979,374392,128,130596150,130563501,105226292,105226291
2021-05-26 15:46:04,e484,6534,2042,730,352496,128,23951527,23918889,105251538,105251538
2021-05-26 15:46:05,9bf4,6535,1046,3980,373660,128,130628918,130596269,105258036,105258035
2021-05-26 15:46:05,e484,6536,2042,731,352352,128,23984295,23951657,105284562,105284562
2021-05-26 15:46:06,9bf4,6537,1047,3981,374472,128,130661686,130629037,105291060,105291059
2021-05-26 15:46:06,e484,6538,2042,732,352640,128,24017063,23984425,105316818,105316818
2021-05-26 15:46:07,9bf4,6539,1048,3982,373936,128,130694454,130661805,105322804,105322803
2021-05-26 15:46:07,e484,6540,2042,733,352352,128,24049831,24017193,105349074,105349073
2021-05-26 15:46:08,9bf4,6541,1049,3983,374416,128,130727222,130694573,105356339,105356339
2021-05-26 15:46:08,e484,6542,2042,734,352728,128,24082599,24049961,105382610,105382609
2021-05-26 15:46:09,9bf4,6543,1050,3984,373552,128,130759990,130727341,105388851,105388851
2021-05-26 15:46:09,e484,6544,2042,735,352252,128,24115367,24082729,105415378,105415377
2021-05-26 15:46:10,9bf4,6545,1051,3985,374276,128,130792758,130760109,105421107,105421107
2021-05-26 15:46:10,e484,6546,2042,736,352364,128,24148135,24115497,105447890,105447889
2021-05-26 15:46:11,9bf4,6547,1052,3986,373488,128,130825526,130792877,105454899,105454898
2021-05-26 15:46:11,e484,6548,2042,737,352388,128,24180903,24148265,105479880,105479879
2021-05-26 15:46:12,9bf4,6549,1053,3987,374300,128,130858294,130825645,105487667,105487666
2021-05-26 15:46:12,e484,6550,2042,738,352300,128,24213671,24181033,105512648,105512647
