Running serialdump without rlwrap support.
Consider installing rlwarp in order to be able to use command history
../../../tools/serial-io/serialdump -b115200 -T /dev/ttyUSB1
[2021-05-18 15:16:55] e484,11,3,3,577412,128,130285,0,0,9644811
[2021-05-18 15:16:55] e484,12,4,4,573860,128,163053,0,0,9676162
[2021-05-18 15:16:56] e484,13,5,5,573856,128,195821,0,0,9708930
[2021-05-18 15:16:57] e484,14,6,6,569828,128,228589,0,0,9741699
[2021-05-18 15:16:58] e484,15,7,7,568900,128,261357,0,0,9774466
[2021-05-18 15:16:59] e484,16,8,8,564848,128,294125,0,0,9807233
[2021-05-18 15:17:00] [INFO: Main      ] Starting Contiki-NG-28d611c
[2021-05-18 15:17:01] [INFO: Main      ] - Routing: nullrouting
[2021-05-18 15:17:01] [INFO: Main      ] - Net: nullnet
[2021-05-18 15:17:01] [INFO: Main      ] - MAC: CSMA
[2021-05-18 15:17:01] [INFO: Main      ] - 802.15.4 PANID: 0xabcd
[2021-05-18 15:17:01] [INFO: Main      ] - 802.15.4 Default channel: 13
[2021-05-18 15:17:01] [INFO: Main      ] Node ID: 40007
[2021-05-18 15:17:01] [INFO: Main      ] Link-layer address: 0012.4b00.18e6.9c47
[2021-05-18 15:17:01] [INFO: Zoul      ] Zolertia Firefly platform
[2021-05-18 15:17:02] e484,1,10,10,562620,128,359661,0,0,37349
[2021-05-18 15:17:02] e484,2,11,11,562844,128,392429,0,0,70111
[2021-05-18 15:17:03] e484,3,12,12,559384,128,425197,0,0,103134
[2021-05-18 15:17:04] e484,4,13,13,559528,128,457965,0,0,136157
[2021-05-18 15:17:05] e484,5,14,14,556108,128,490733,0,0,168413
[2021-05-18 15:17:06] e484,6,15,15,557292,128,523501,0,0,201949
[2021-05-18 15:17:07] e484,7,16,16,554380,128,556269,0,0,234460
[2021-05-18 15:17:08] e484,8,17,17,555364,128,589036,0,0,267741
[2021-05-18 15:17:09] e484,9,18,18,552948,128,621804,0,0,299740
[2021-05-18 15:17:10] e484,10,19,19,553992,128,654572,0,0,333276
[2021-05-18 15:17:11] e484,11,20,20,551780,128,687340,0,0,365276
[2021-05-18 15:17:12] e484,12,21,21,552576,128,720108,0,0,398044
[2021-05-18 15:17:13] e484,13,22,22,550316,128,752876,0,0,430300
[2021-05-18 15:17:14] e484,14,23,23,551564,128,785644,0,0,463835
[2021-05-18 15:17:15] e484,15,24,24,549144,128,818412,0,0,495698
[2021-05-18 15:17:16] e484,16,25,25,551956,128,851180,0,0,529884
[2021-05-18 15:17:17] e484,17,26,26,548412,128,883948,0,0,562651
[2021-05-18 15:17:18] e484,18,27,27,549900,128,916716,0,0,594140
[2021-05-18 15:17:19] e484,19,28,28,546716,128,949484,0,0,627163
[2021-05-18 15:17:20] e484,20,29,29,549252,128,982252,0,0,660699
[2021-05-18 15:17:21] e484,21,30,30,547076,128,1015020,0,0,692700
