
[2021-05-26 12:31:47,e5e4,66,63241,2121722,11656,2162764,2195018
[2021-05-26 12:31:47,e5e4,67,63997,2153734,11926,2195262,2227786
[2021-05-26 12:31:48,e5e4,68,64523,2185976,12016,2227940,226055
[2021-05-26 12:31:49,e5e4,69,65165,2218102,12196,2260529,2293322
[2021-05-26 12:31:50,e5e4,70,65847,2250188,12376,2293117,2326090
[2021-05-26 12:31:51,e5e4,71,66524,2282279,12581,2325680,2358858
[2021-05-26 12:31:52,e5e4,72,67061,2314510,12671,2358358,2391626
[2021-05-26 12:31:53,e5e4,73,67598,2346741,12760,2391037,2424394
[2021-05-26 12:31:54,e5e4,74,68132,2378975,12850,2423715,2457162
[2021-05-26 12:31:55,e5e4,75,68674,2411202,12939,2456394,2489930
[2021-05-26 12:31:56,e5e4,76,69117,2443526,13029,2489072,2522698
[2021-05-26 12:31:57,e5e4,77,70092,2475320,13567,2521302,2555466
[2021-05-26 12:31:58,e5e4,78,70614,2507566,13746,2553891,2588234
[2021-05-26 12:31:59,e5e4,79,71259,2539689,14015,2586390,2621002
[2021-05-26 12:32:00,e5e4,80,71698,2572018,14104,2619069,2653771
[2021-05-26 12:32:01,e5e4,81,72106,2604378,14193,2651748,2686538
[2021-05-26 12:32:02,e5e4,82,72518,2636734,14282,2684427,2719306
[2021-05-26 12:32:03,e5e4,83,73041,2668979,14371,2717106,2752075
[2021-05-26 12:32:04,e5e4,84,73565,2701223,14460,2749785,2784843
[2021-05-26 12:32:05,e5e4,85,74202,2733354,14639,2782374,2817611
[2021-05-26 12:32:06,e5e4,86,74836,2765488,14817,2814964,2850379
[2021-05-26 12:32:07,e5e4,87,75360,2797732,14906,2847643,2883147
[2021-05-26 12:32:08,e5e4,88,76110,2829750,15173,2880144,2915915
[2021-05-26 12:32:09,e5e4,89,76631,2861997,15262,2912823,2948683
[2021-05-26 12:32:10,e5e4,90,77188,2894208,15352,2945501,2981451
[2021-05-26 12:32:11,e5e4,91,77715,2926449,15442,2978179,3014219
[2021-05-26 12:32:12,e5e4,92,78438,2958494,15620,3010769,3046987
[2021-05-26 12:32:13,e5e4,93,79130,2990570,15799,3043358,3079755
[2021-05-26 12:32:14,e5e4,94,79785,3022683,15977,3075948,3112523
[2021-05-26 12:32:15,e5e4,95,80551,3054685,16244,3108449,3145291
[2021-05-26 12:32:16,e5e4,96,82290,3085714,17289,3140172,3178059
[2021-05-26 12:32:17,e5e4,99,87407,3178901,20233,3235532,3276363
[2021-05-26 12:32:20,e5e4,100,88479,3210597,20707,3267827,3309131
[2021-05-26 12:32:21,e5e4,101,89022,3242822,20796,3300505,3341899
